"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"exp_label","pre 1","1-1","post 1-1","1-2","post 1-2","pre 2","2-1","2-2","2-3","2-4","2-5","post 2"
"UX_workingday_total_woHVAC_peak","0.4414195","0.4207029","0.4264706","0.6027664","0.5724749","0.5428993","0.4703649","0.5907963","0.6735333","0.5054412","0.4134211","0.4908787"
"UX_workingday_total_woHVAC_avg","0.2750532","0.2500798","0.2294734","0.3328992","0.3436261","0.3440005","0.3034077","0.3549880","0.3905732","0.3094841","0.2612842","0.2991813"
"UX_workingday_total_woHVAC_base","0.10123164","0.08044000","0.07109864","0.10058640","0.13610002","0.13642134","0.14782432","0.12961111","0.14426667","0.12119853","0.12613158","0.12195027"
"UX_workingday_total_woETC_peak","0.4173538","0.3886947","0.3980768","0.5583791","0.5387577","0.5181291","0.4389595","0.5538519","0.6159333","0.4591985","0.3641053","0.4287816"
"UX_workingday_total_woETC_avg","0.2551054","0.2301027","0.2081646","0.3036177","0.3206223","0.3263333","0.2783721","0.3254870","0.3532213","0.2755148","0.2202190","0.2467376"
"UX_workingday_total_woETC_base","0.08711193","0.06809000","0.05382511","0.07666550","0.11868682","0.12376822","0.12783784","0.10655556","0.11720000","0.09760294","0.09400000","0.07782531"
"UX_workingday_computer_peak","0.1371993","0.1210278","0.1101297","0.1978349","0.1839004","0.1839843","0.1725000","0.1979630","0.2159667","0.1882941","0.1887895","0.1524319"
"UX_workingday_computer_avg","0.10246812","0.08537417","0.07652767","0.12079993","0.12176817","0.12535576","0.12591378","0.13201003","0.14083064","0.12225306","0.12695977","0.09764351"
"UX_workingday_computer_base","0.07497183","0.06175340","0.04772730","0.07255650","0.07875982","0.08598286","0.09376947","0.08566044","0.08263333","0.07370588","0.08307895","0.05825958"
"UX_workingday_light_peak","0.2886950","0.2939878","0.2953898","0.3910833","0.3541262","0.3443967","0.2907703","0.3305556","0.2526667","0.2793015","0.1948826","0.2968608"
