"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"exp_label","pre 1","1-1","post 1-1","1-2","post 1-2","pre 2","2-1","2-2","2-3","2-4","2-5","post 2"
"MARG_workingday_total_woHVAC_base","0.4090599","0.3173744","0.4343213","0.2573899","0.3776027","0.4395387","0.5246486","0.5685000","0.5875667","0.6272647","0.6757895","0.6854020"
"MARG_workingday_total_woETC_peak","0.8430497","0.8070987","1.1988325","0.8533668","0.8414978","1.3859563","1.0434865","1.3082593","1.3774398","1.1202937","1.7022895","1.6487167"
"MARG_workingday_total_woETC_avg","0.6141265","0.5149249","0.7354931","0.5627999","0.6121606","0.8753465","0.7509627","0.8705039","0.8799772","0.8476207","1.0411579","1.0312396"
"MARG_workingday_total_woETC_base","0.3339127","0.2745809","0.3928173","0.2380852","0.3322898","0.3811251","0.4412568","0.4962963","0.5032667","0.5511324","0.5724211","0.5793133"
"MARG_workingday_computer_peak","0.5048359","0.5111241","0.5600308","0.4476945","0.5144363","0.5243397","0.6039189","0.6676667","0.6607858","0.7420504","0.7208158","0.6497254"
"MARG_workingday_computer_avg","0.4033399","0.3785342","0.4373146","0.2988111","0.3915717","0.4179092","0.4965610","0.5467374","0.5596945","0.6269875","0.6077041","0.5353214"
"MARG_workingday_computer_base","0.3108507","0.2653227","0.3341793","0.1853601","0.2848150","0.3306615","0.4084865","0.4476852","0.4776000","0.5187794","0.5080263","0.4377143"
"MARG_workingday_light_peak","0.2631000","0.1782280","0.2638838","0.2923708","0.2596709","0.3087686","0.3178243","0.3086423","0.2923000","0.2865927","0.2924474","0.2938504"
"MARG_workingday_light_avg","0.17989774","0.08178464","0.15824234","0.16990491","0.16778632","0.19255086","0.20110586","0.20750079","0.18530168","0.17238314","0.18593505","0.19933629"
"MARG_workingday_light_base","0.010919262","0.000000000","0.028695864","0.038912100","0.028168449","0.025146902","0.016472973","0.028907407","0.006466667","0.006242647","0.026157895","0.065482157"
"MARG_workingday_hvac_peak","0.09733721","0.22116340","0.48340711","0.19603590","0.09112133","0.62174625","0.17344595","0.41648148","0.49440000","0.07604697","0.81994737","0.88772242"
"MARG_workingday_hvac_avg","0.03088885","0.05460608","0.13993623","0.09408391","0.05267495","0.26488643","0.05329592","0.11626569","0.13498107","0.02949378","0.24751882","0.29658182"
"MARG_workingday_hvac_base","0.008981262","0.008985400","0.008699682","0.009878100","0.009900471","0.009977389","0.009959459","0.010000000","0.009966667","0.009970588","0.009947368","0.009443528"
"MARG_non_workingday_total_peak","0.7691621","0.9545463","1.0937969","2.1681070","0.7259456","0.9770765","0.7864706","1.4621786","1.0909167","0.9895676","1.4850000","1.7266513"
"MARG_non_workingday_total_avg","0.5873636","0.4978748","0.6995029","0.6690632","0.4881364","0.6052726","0.6125006","0.8463363","0.7816562","0.7461335","1.0004421","1.1514105"
"MARG_non_workingday_total_base","0.3908806","0.3202390","0.4027852","0.2364810","0.3161294","0.4051216","0.5040000","0.5294286","0.6217500","0.6008514","0.6296667","0.6818255"
"MARG_non_workingday_total_woHVAC_peak","0.7024308","0.4556507","0.6441911","0.5322545","0.5563671","0.6199383","0.7138824","0.7411071","0.7430000","0.8683784","0.8381667","0.8613157"
"MARG_non_workingday_total_woHVAC_avg","0.5415801","0.3684416","0.5028407","0.3625925","0.4147775","0.4920707","0.5856783","0.6171257","0.6602969","0.7117928","0.7332280","0.7549574"
"MARG_non_workingday_total_woHVAC_base","0.3817558","0.3108192","0.3935729","0.2265813","0.3059271","0.3948537","0.4937941","0.5191071","0.6117500","0.5896892","0.6143333","0.6562786"
"MARG_non_workingday_total_woETC_peak","0.6718304","0.8874953","1.0380618","2.1261998","0.6649749","0.8932178","0.6869118","1.3712857","0.9832500","0.8810135","1.3617778","1.5744705"
"MARG_non_workingday_total_woETC_avg","0.4950738","0.4403658","0.6456765","0.6319812","0.4306734","0.5260810","0.5153603","0.7586250","0.6812153","0.6475843","0.8918206","1.0004543"
"MARG_non_workingday_total_woETC_base","0.3044072","0.2763672","0.3541503","0.1907265","0.2660100","0.3357928","0.4135588","0.4506786","0.5320000","0.5169324","0.5173889","0.5341655"
"MARG_non_workingday_computer_peak","0.3617472","0.3306077","0.3892262","0.2806755","0.3173871","0.3652065","0.4456471","0.4814286","0.5182500","0.5612432","0.5775556","0.5490877"
"MARG_non_workingday_computer_avg","0.3242868","0.2935865","0.3596798","0.2329510","0.2797284","0.3360772","0.4231011","0.4489055","0.4995712","0.5221424","0.5291308","0.5189631"
"MARG_non_workingday_computer_base","0.2935852","0.2668715","0.3356109","0.1720993","0.2480393","0.3135658","0.4026176","0.4219286","0.4857500","0.4923243","0.4704444","0.4948964"
"MARG_non_workingday_light_peak","0.24707030","0.06074325","0.20589731","0.21238850","0.18083508","0.17704769","0.17917647","0.17153571","0.12075000","0.17205405","0.16961111","0.16687089"
"MARG_non_workingday_light_avg","0.12500364","0.01734611","0.08933445","0.09255942","0.07758602","0.07680190","0.06543689","0.08050893","0.06028472","0.06851492","0.09547569","0.08503809"
"MARG_non_workingday_light_base","0.000000000","0.000000000","0.006731938","0.000000000","0.007610516","0.009975818","0.000000000","0.013857143","0.031666667","0.000000000","0.029000000","0.008113364"
"MARG_non_workingday_hvac_peak","0.07974530","0.48427950","0.46719950","1.66115675","0.17013500","0.38595487","0.06732353","0.75564286","0.35100000","0.13704054","0.70483333","0.92006484"
"MARG_non_workingday_hvac_avg","0.04578343","0.12943315","0.19666224","0.30647072","0.07335894","0.11320196","0.02682230","0.22921057","0.12135937","0.03434077","0.26721412","0.39645307"
"MARG_non_workingday_hvac_base","0.009020450","0.009076000","0.009032625","0.009879000","0.009891323","0.009975735","0.010000000","0.010000000","0.010000000","0.009986486","0.010000000","0.009688500"
"HCC_allDay_total_peak","0.5431871","0.5020989","0.7643619","0.6963554","0.6202632","0.5956880","0.6570093","0.6581951","0.6304048","0.5515970","0.5962321","0.6187057"
"HCC_allDay_total_avg","0.3743691","0.3571583","0.4782808","0.4327429","0.4418041","0.4498870","0.4956474","0.4809333","0.4465993","0.3849789","0.4377780","0.4515615"
"HCC_allDay_total_base","0.1855757","0.2112525","0.1804871","0.1529381","0.2324066","0.2678363","0.2838704","0.2707683","0.2178571","0.2108000","0.2264464","0.2302540"
"HCC_allDay_total_woHVAC_peak","0.5417850","0.5006799","0.7618295","0.6922697","0.6171284","0.5880227","0.6533981","0.6531463","0.6245476","0.5482885","0.5876786","0.6062491"
"HCC_allDay_total_woHVAC_avg","0.3729497","0.3557131","0.4760627","0.4301702","0.4392397","0.4449695","0.4927248","0.4768099","0.4411727","0.3821242","0.4313341","0.4418061"
"HCC_allDay_total_woHVAC_base","0.1841358","0.2097805","0.1791113","0.1513435","0.2305713","0.2654127","0.2816574","0.2671829","0.2144762","0.2086762","0.2235179","0.2245578"
"HCC_allDay_total_woETC_peak","0.4961601","0.4693716","0.7301601","0.6597439","0.5817278","0.5604791","0.6150370","0.6175976","0.6062143","0.5160762","0.5574643","0.5947206"
"HCC_allDay_total_woETC_avg","0.3301868","0.3247042","0.4445208","0.3970234","0.4056308","0.4156172","0.4539133","0.4411560","0.4236731","0.3508762","0.4014421","0.4282706"
"HCC_allDay_total_woETC_base","0.1429530","0.1817403","0.1480044","0.1188686","0.1983989","0.2349081","0.2429907","0.2317927","0.1960714","0.1788619","0.1919107","0.2079114"
"HCC_allDay_computer_peak","0.1934520","0.1923181","0.2120875","0.2933199","0.2602436","0.2648265","0.3189352","0.3243049","0.2948810","0.2617546","0.2767143","0.2587741"
"HCC_allDay_computer_avg","0.1387872","0.1432658","0.1480419","0.1876601","0.1954553","0.2154345","0.2609064","0.2599368","0.2292458","0.2093798","0.2166736","0.1988590"
"HCC_allDay_computer_base","0.09946563","0.10893514","0.10096545","0.11464093","0.14707554","0.17570125","0.21506481","0.20769512","0.18100000","0.16866464","0.16941071","0.15269562"
"HCC_allDay_light_peak","0.3179839","0.2896960","0.3034481","0.2959014","0.3290993","0.3056289","0.3161852","0.3008780","0.3179799","0.2626381","0.2927552","0.3342750"
"HCC_allDay_light_avg","0.1899279","0.1799932","0.2028236","0.1883611","0.2051546","0.1951798","0.1898313","0.1766661","0.1887627","0.1367851","0.1781527","0.2195096"
"HCC_allDay_light_base","0.037685694","0.065356214","0.035268550","0.002892857","0.044293914","0.050437110","0.019388889","0.016695122","0.008095238","0.005204762","0.018178571","0.046638586"
"HCC_allDay_hvac_peak","0.001472129","0.001496786","0.003027467","0.003863143","0.004459040","0.012338028","0.004444444","0.008378049","0.011238095","0.005080952","0.013733946","0.015973059"
"HCC_allDay_hvac_avg","0.001419389","0.001445287","0.002218070","0.002572726","0.002564481","0.004917439","0.002922647","0.004123424","0.005426532","0.002854671","0.006443937","0.009755339"
"HCC_allDay_hvac_base","0.001367387","0.001393500","0.001318250","0.001552286","0.001696308","0.001927297","0.002000000","0.002000000","0.002000000","0.001732629","0.002464286","0.003544342"
"HCC_workingday_total_peak","0.5844016","0.5461406","0.7570995","0.7069457","0.6757133","0.6474106","0.7114865","0.7120926","0.6850333","0.6394926","0.6383158","0.6534874"
"HCC_workingday_total_avg","0.4091722","0.4046114","0.4797359","0.4848124","0.4943221","0.4967799","0.5452807","0.5335381","0.4966772","0.4534140","0.4769689","0.4843956"
"HCC_workingday_total_base","0.1997709","0.2452909","0.1870586","0.1607367","0.2480330","0.2888379","0.2932162","0.2839074","0.2278000","0.2176691","0.2392368","0.2462092"
"HCC_workingday_total_woHVAC_peak","0.5830134","0.5447396","0.7555556","0.7048534","0.6738428","0.6400236","0.7084730","0.7090000","0.6805000","0.6363897","0.6305789","0.6417960"
"HCC_workingday_total_woHVAC_avg","0.4077574","0.4031743","0.4781546","0.4828557","0.4921992","0.4917318","0.5426859","0.5302804","0.4913626","0.4504959","0.4710669","0.4746503"
"HCC_workingday_total_woHVAC_base","0.1983260","0.2438279","0.1857018","0.1591482","0.2462793","0.2862619","0.2912027","0.2801111","0.2240000","0.2155074","0.2371053","0.2403323"
"HCC_workingday_total_woETC_peak","0.5382864","0.5126757","0.7223865","0.6700417","0.6365164","0.6121418","0.6688108","0.6718333","0.6607333","0.6033676","0.5967368","0.6292818"
"HCC_workingday_total_woETC_avg","0.3663432","0.3719393","0.4458640","0.4488437","0.4578091","0.4625564","0.5035697","0.4940115","0.4735778","0.4190412","0.4386181","0.4611275"
"HCC_workingday_total_woETC_base","0.1581729","0.2157308","0.1550412","0.1263046","0.2135712","0.2558159","0.2520541","0.2449444","0.2061667","0.1853162","0.2026579","0.2238385"
"HCC_workingday_computer_peak","0.2215548","0.2182769","0.2249943","0.3410774","0.2924188","0.2874346","0.3444865","0.3555185","0.3236000","0.2936838","0.3040789","0.2796159"
"HCC_workingday_computer_avg","0.1506824","0.1565661","0.1561986","0.2110121","0.2104376","0.2259607","0.2743527","0.2774793","0.2450018","0.2255040","0.2303853","0.2103169"
"HCC_workingday_computer_base","0.1011647","0.1143880","0.1024447","0.1210390","0.1493816","0.1768039","0.2183919","0.2100741","0.1858667","0.1710410","0.1721053","0.1553783"
"HCC_workingday_light_peak","0.3367303","0.3106651","0.3220111","0.3510885","0.3587232","0.3403603","0.3515000","0.3294815","0.3484385","0.3235441","0.3086656","0.3514970"
"HCC_workingday_light_avg","0.2141689","0.2139360","0.2169117","0.2358011","0.2428688","0.2314544","0.2262530","0.2126655","0.2229282","0.1880530","0.2020775","0.2409206"
"HCC_workingday_light_base","0.049522000","0.091498700","0.037318182","0.004049500","0.055110485","0.067830807","0.024513514","0.025351852","0.011333333","0.008036765","0.026789474","0.059137176"
"HCC_workingday_hvac_peak","0.001470976","0.001495500","0.001502432","0.001768200","0.002891824","0.012746189","0.003554054","0.006537037","0.010900000","0.005411765","0.013502658","0.015791926"
"HCC_workingday_hvac_avg","0.001414782","0.001437096","0.001581295","0.001956654","0.002122867","0.005048175","0.002594876","0.003257637","0.005314506","0.002918158","0.005902030","0.009745273"
"HCC_workingday_hvac_base","0.001358119","0.001379900","0.001292932","0.001544700","0.001708110","0.001929010","0.002000000","0.002000000","0.002000000","0.001830596","0.002000000","0.003539306"
"HCC_non_workingday_total_peak","0.4566365","0.3919948","0.7843335","0.6698797","0.4986308","0.4797042","0.5384412","0.5542500","0.4938333","0.3900590","0.5073889","0.5333327"
"HCC_non_workingday_total_avg","0.3012827","0.2385258","0.4742793","0.3025691","0.3266036","0.3447331","0.3876219","0.3794814","0.3214045","0.2592061","0.3550417","0.3709686"
"HCC_non_workingday_total_base","0.1557657","0.1261565","0.1624156","0.1334415","0.1981295","0.2207419","0.2635294","0.2454286","0.1930000","0.1981757","0.1994444","0.1910912"
"HCC_non_workingday_total_woHVAC_peak","0.4552056","0.3905305","0.7790829","0.6608105","0.4927225","0.4714148","0.5335294","0.5454286","0.4846667","0.3863728","0.4971111","0.5189976"
